Gender,Height,Weight
Male,73.847017,241.893563
Male,68.781904,162.310473
Male,74.1101054,212.740856
Male,71.7309784,220.04247
Male,69.8817959,206.349801
Male,67.2530157,152.212156
Male,68.7850813,183.927889
Male,68.3485155,167.97111
Male,67.0189497,175.92944
Male,63.456494,156.399676
Male,71.1953823,186.604926
Male,71.6408051,213.741169
Male,64.7663291,167.127461
Male,69.2830701,189.446181
Male,69.2437322,186.434168
Male,67.6456197,172.18693
Male,72.4183166,196.028506
Male,63.9743257,172.88347
Male,69.6400599,185.983958
Male,67.9360049,182.426648
Male,67.9150502,174.115929
Male,69.4394399,197.731422
Male,66.149132,149.173566
Male,75.2059736,228.761781
Male,67.8931963,162.006652
Male,68.1440328,192.343977
Male,69.0896314,184.435174
Male,72.8008435,206.828189
Male,67.4212423,175.213922
Male,68.4964154,154.342639
Male,68.6181106,187.506843
Male,74.0338076,212.910225
Male,71.528216,195.032243
Male,69.1801611,205.183621
Male,69.5772024,204.164125
Male,70.4009289,192.903515
Male,69.0761712,197.488243
Male,67.1935233,183.810973
Male,65.8073157,163.851825
Male,64.3041879,163.108017
Male,67.9743362,172.135597
Male,72.189426,194.045405
Male,65.2703455,168.617746
Male,66.0901774,161.193433
Male,67.5103215,164.660277
Male,70.1047863,188.922303
Male,68.2518364,187.060552
Male,72.1727091,209.070863
Male,69.1798576,192.014335
Male,72.8703601,211.342497
Male,64.782583,165.611626
Male,70.1835499,201.071918
Male,68.4914503,173.42396
Male,67.3308309,181.407679
Male,66.9909441,169.737707
Male,66.4995499,163.309528
Male,68.3530566,189.71021
Male,70.7744591,192.124847
Male,71.2159237,198.198464
Male,70.0133653,209.5265
Male,71.4031822,198.759793
Male,69.5520051,198.079524
Male,73.8185346,195.290612
Male,66.9968828,164.943303
Male,71.4184659,179.863902
Male,65.2793002,155.250421
Male,68.2741915,184.519391
Male,72.7653699,220.678041
Male,68.0993798,183.312655
Male,68.8967061,196.451312
Male,69.28951,184.595608
Male,70.5232245,207.532839
Male,69.6637252,177.200929
Male,67.5952688,163.108002
Male,72.5081204,216.21823
Male,71.2529856,204.655494
Male,71.8091869,200.920571
Male,72.2451655,220.90177
Male,66.5126277,196.44986
Male,66.029034,168.64081
Male,67.5771539,181.432713
Male,68.2465686,198.658673
Male,73.826127,237.916736
Male,69.8024644,173.041256
Male,65.9595778,160.683917
Male,71.0790176,188.602919
Male,66.5961965,208.345694
Male,68.9515351,193.435118
Male,68.2444618,174.109694
Male,72.3168251,197.368589
Male,71.8154204,201.620667
Male,65.2370495,181.011973
Male,70.6405301,182.122486
Male,64.7319256,177.549263
Male,67.1035512,164.974581
Male,65.1174849,165.717112
Male,71.701234,193.094164
Male,66.8328782,180.683887
Male,66.4712753,172.773723
Male,69.4115262,177.470616
Male,70.0521775,200.818737
Male,66.7436047,167.739775
Male,66.2743291,154.395625
Male,68.328448,177.984729
Male,70.0758882,183.938857
Male,68.7329881,179.204782
Male,67.5560513,158.567987
Male,66.2536325,166.503532
Male,69.1822027,171.983678
Male,67.6091049,174.364182
Male,69.292738,187.745352
Male,68.190684,201.487962
Male,71.6070858,204.927012
Male,69.1968575,178.685546
Male,67.261961,164.014428
Male,73.6851934,223.270004
Male,69.537215,202.958306
Male,68.3115598,189.391786
Male,67.7389635,178.170556
Male,71.7057626,223.299335
Male,63.6322646,167.028707
Male,68.7211985,180.468682
Male,66.9493417,164.439146
Male,62.7069897,149.969618
Male,72.2584089,192.910267
Male,70.9086531,201.883999
Male,67.6098436,179.868026
Male,70.801559,196.467725
Male,69.304769,187.551649
Male,66.2428983,171.69316
Male,67.492193,191.699605
Male,65.8062483,165.850648
Male,71.4437057,185.662741
Male,68.4644058,178.281801
Male,63.9879246,150.979051
Male,71.0018977,209.929323
Male,68.1397242,174.157804
Male,68.3954002,179.878977
Male,68.0962197,167.747141
Male,68.1405904,183.04466
Male,68.8600903,169.556821
Male,66.1488525,173.431673
Male,66.2060321,180.889555
Male,67.4321202,183.508933
Male,69.471106,205.97791
Male,70.5158597,183.759845
Male,71.338376,201.954495
Male,71.0019448,216.120095
Male,66.2023477,159.390324
Male,72.543307,210.336425
Male,67.4793518,178.61835
Male,65.3504106,146.739798
Male,70.8440624,195.937015
Male,69.9384753,170.175854
Male,64.7398155,169.654054
Male,69.3084029,198.378694
Male,68.8384629,179.907717
Male,61.9373233,147.263687
Male,68.5933355,176.984251
Male,65.2185756,185.467788
Male,64.3336481,177.493802
Male,68.7489067,169.827477
Male,72.4896554,198.581698
Male,67.2339309,203.350339
Male,67.2636048,193.217673
Male,65.1185043,178.134945
Male,66.26282,162.779583
Male,67.7016797,159.286511
Male,65.530696,172.114312
Male,69.8689698,201.837043
Male,68.4818754,170.35233
Male,72.2139633,205.389761
Male,68.1795327,169.787768
Male,71.9812065,200.437311
Male,66.0651367,178.588954
Male,66.6561642,168.01403
Male,67.5994242,177.766426
Male,68.2459441,193.277624
Male,64.8086214,162.379541
Male,67.4922183,183.383824
Male,68.1807307,181.056095
Male,69.5533849,210.871799
Male,66.4022497,165.568499
Male,66.5921571,196.14845
Male,71.9358866,202.046425
Male,68.2870417,170.413602
Male,69.9554512,201.948085
Male,71.8511291,193.386985
Male,65.7554986,179.85569
Male,67.0318521,156.489935
Male,76.7098349,235.035419
Male,72.5711214,230.560535
Male,69.7288049,203.895655
Male,72.799224,218.216397
Male,72.5393541,222.667178
Male,72.2947434,208.474866
Male,67.2533248,180.77978
Male,75.9444604,231.924749
Male,66.3162319,170.593858
Male,71.1560535,188.271456
Male,71.1922023,196.061529
Male,72.197512,214.603584
Male,75.1408214,224.124271
Male,64.4115294,158.579397
Male,64.7344244,166.501115
Male,63.4145871,160.140616
Male,67.8486652,176.172634
Male,65.9317848,174.485295
Male,70.9665504,193.906499
Male,67.5807473,186.991607
Male,68.5892704,173.595796
Male,70.3247534,193.34656
Male,72.3944804,208.436509
Male,70.8208567,206.032978
Male,65.9033013,172.575231
Male,74.795375,232.635403
Male,67.680919,177.240145
Male,67.1559628,175.64669
Male,71.7748412,212.626102
Male,64.6652319,166.969204
Male,68.1227684,196.414415
Male,66.7869272,165.431242
Male,66.8058498,176.565819
Male,67.8860138,174.652035
Male,69.1735769,195.237529
Male,70.2249233,205.684438
Male,64.8557992,158.341442
Male,67.8210933,169.081008
Male,63.4402475,135.655876
Male,71.8484348,218.157469
Male,66.7280736,155.899541
Male,71.9683057,201.528177
Male,76.0213475,235.926061
Male,71.4761013,195.392618
Male,67.3698086,176.636164
Male,70.5552438,198.460249
